Species,Small-molecule metabolite or macromolecule,Metabolic activity,Ref. #
Absiella dolichum,Acetate,Production (export),424
Absiella dolichum,Butyrate,Production (export),424
Absiella dolichum,Cellobiose,Consumption (import),424
Absiella dolichum,D-Fructose (Fructose),Consumption (import),424
Absiella dolichum,D-Galactose,Consumption (import) (-),424
Absiella dolichum,"D-Gluconate (D-Gluconic acid, Gluconate)",Consumption (import) (-),424
Absiella dolichum,D-Glucose (Glucose),Consumption (import),424
Absiella dolichum,D-Mannose (Mannose),Consumption (import),424
Absiella dolichum,D-Ribose (Ribose),Consumption (import),424
Absiella dolichum,Erythritol,Consumption (import) (-),242
Absiella dolichum,"Fructan (Inulin, Levan)",Macromolecule degradation (-),424
Absiella dolichum,Glycerol,Consumption (import) (-),424
Absiella dolichum,H2S (HS-),Production (export) (-),242
Absiella dolichum,Hippurate,Consumption (import) (-),242
Absiella dolichum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Consumption (import) (-),242
Absiella dolichum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),424
Absiella dolichum,L-Sorbose (Sorbose),Consumption (import) (-),424
Absiella dolichum,Maltose,Consumption (import),424
Absiella dolichum,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),424
Absiella dolichum,Nitrate (NO3-),Consumption (import) (-),242
Absiella dolichum,Pyruvate,Production (export),424
Absiella dolichum,Pyruvate,Consumption (import) (-),424
Absiella dolichum,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,424
Absiella dolichum,Succinate,Production (export),424
Absiella dolichum,Sucrose,Consumption (import),424
Acetoanaerobium sticklandii,2-Aminobutyric acid (2-Aminobutyrate),Production (export),198
Acetoanaerobium sticklandii,5-Aminovalerate,Production (export),198
Acetoanaerobium sticklandii,Acetate,Production (export),214
Acetoanaerobium sticklandii,Butyrate,Production (export),214
Acetoanaerobium sticklandii,Indole-3-acetate (Indoleacetate),Production (export),198
Acetoanaerobium sticklandii,Isobutyrate (2-Methylpropanoic acid),Production (export),214
Acetoanaerobium sticklandii,Isovalerate (3-Methylbutanoic acid),Production (export),214
Acetoanaerobium sticklandii,"L-Phenylalanine (Phenylalanine, D-Phenylalanine)",Consumption (import),198
Acetoanaerobium sticklandii,"L-Proline (Proline, D-Proline)",Consumption (import),198
Acetoanaerobium sticklandii,L-Tryptophan (Tryptophan),Consumption (import),198
Acetoanaerobium sticklandii,L-Tyrosine (Tyrosine),Consumption (import),198
Acetoanaerobium sticklandii,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),"12, 197, 214"
Acetoanaerobium sticklandii,Phenylacetate,Production (export),198
Acetoanaerobium sticklandii,Propanoate (Propionate),Production (export),"197, 214"
Acetobacter pasteurianus,Acetate,Production (export),4
Acetobacter pasteurianus,Ethanol,Consumption (import),4
Acetobacter pasteurianus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Consumption (import),4
Acetobacter pasteurianus,Pectin,Macromolecule degradation,4
Acetobacterium woodii,"4-Aminobenzoate (para-aminobenzoic acid, PABA, p-Aminobenzoate)",Consumption (import),415
Acetobacterium woodii,Acetate,Production (export),415
Acetobacterium woodii,"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])",Consumption (import),415
Acetobacterium woodii,Biotin (Vitamin B7),Consumption (import),415
Acetobacterium woodii,Butanol,Consumption (import),416
Acetobacterium woodii,CO2,Consumption (import),"415, 418"
Acetobacterium woodii,D-Fructose (Fructose),Consumption (import),415
Acetobacterium woodii,D-Glucose (Glucose),Consumption (import),415
Acetobacterium woodii,"D-Glycerate (Glycerate, [R]-Glycerate, Glyceric acid)",Consumption (import),415
Acetobacterium woodii,Ethanol,"Consumption (import), Production (export)",import:416;export:416
Acetobacterium woodii,"Folic acid (Folate, Vitamin B9)",Consumption (import),415
Acetobacterium woodii,Formaldehyde,Consumption (import),418
Acetobacterium woodii,Formate,Consumption (import),415
Acetobacterium woodii,H2 (Hydrogen),"Consumption (import), Production (export)","import:415, 418;export:417"
Acetobacterium woodii,"L-Alanine (D-Alanine, Alanine)",Production (export),416
Acetobacterium woodii,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Consumption (import),415
Acetobacterium woodii,Methane (CH4),Production (export),416
Acetobacterium woodii,Methanol,Consumption (import),418
Acetobacterium woodii,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),415
Acetobacterium woodii,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),415
Acetobacterium woodii,"Propanol (n-propanol, 1-Propanol)",Consumption (import),416
Acetobacterium woodii,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",Consumption (import),415
Acetobacterium woodii,Riboflavin (Vitamin B2),Consumption (import),415
Acetobacterium woodii,Succinate,Production (export),415
Acetobacterium woodii,"Thiamine (Vitamin B1, Thiamin)",Consumption (import),415
Acetohalobium arabaticum,Acetate,Production (export),4
Acetohalobium arabaticum,Betaine (Glycine betaine),Consumption (import),5
Acetohalobium arabaticum,CO2,Consumption (import),5
Acetohalobium arabaticum,Carbon monoxide (CO),Consumption (import),5
Acetohalobium arabaticum,Formate,Consumption (import),5
Acetohalobium arabaticum,H2 (Hydrogen),Consumption (import),5
Acetohalobium arabaticum,L-Asparagine (Asparagine),Consumption (import),5
Acetohalobium arabaticum,"L-Aspartate (Aspartate, D-Aspartate)",Consumption (import),5
Acetohalobium arabaticum,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Consumption (import),5
Acetohalobium arabaticum,L-Histidine (Histidine),Consumption (import),5
Acetohalobium arabaticum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Consumption (import),5
Acetohalobium arabaticum,Pyruvate,Consumption (import),5
Acetohalobium arabaticum,Trimethylamine,Consumption (import),5
Acholeplasma laidlawii,Acetate,Production (export),6
Acholeplasma laidlawii,D-Fructose (Fructose),Consumption (import),6
Acholeplasma laidlawii,D-Galactose,Consumption (import),6
Acholeplasma laidlawii,D-Glucose (Glucose),Consumption (import),6
Acholeplasma laidlawii,L-Methionine (D-Methionine),Consumption (import),6
Achromobacter piechaudii,Citrate,Consumption (import),8
Achromobacter piechaudii,"D-Gluconate (D-Gluconic acid, Gluconate)",Consumption (import),8
Achromobacter piechaudii,H2S (HS-),Production (export),7
Achromobacter piechaudii,Isovalerate (3-Methylbutanoic acid),Consumption (import),8
Achromobacter piechaudii,Itaconate,Consumption (import),8
Achromobacter piechaudii,L-Tyrosine (Tyrosine),Consumption (import),8
Achromobacter piechaudii,Malonate,Consumption (import),7
Achromobacter piechaudii,Nitrate (NO3-),Consumption (import),7
Achromobacter piechaudii,"Valerate (Pentanoic acid, Pentanoate)",Consumption (import),8
Achromobacter xylosoxidans,D-Galactose,Consumption (import),9
Achromobacter xylosoxidans,D-Glucose (Glucose),Consumption (import),9
Achromobacter xylosoxidans,D-Mannose (Mannose),Consumption (import),9
Achromobacter xylosoxidans,D-Xylose (Xylose),Consumption (import),9
Acidaminococcus fermentans,"4-Aminobenzoate (para-aminobenzoic acid, PABA, p-Aminobenzoate)",Consumption (import),617
Acidaminococcus fermentans,Acetate,Production (export),"10, 11, 13"
Acidaminococcus fermentans,"Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])",Consumption (import),617
Acidaminococcus fermentans,Biotin (Vitamin B7),Consumption (import),617
Acidaminococcus fermentans,Butyrate,Production (export),"10, 11, 13"
Acidaminococcus fermentans,CO2,Production (export),11
Acidaminococcus fermentans,Citrate,Consumption (import),11
Acidaminococcus fermentans,H2 (Hydrogen),Production (export),"11, 13"
Acidaminococcus fermentans,H2S (HS-),Production (export),13
Acidaminococcus fermentans,L-Arginine (Arginine),Consumption (import),617
Acidaminococcus fermentans,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Consumption (import),"10, 11, 12"
Acidaminococcus fermentans,L-Tryptophan (Tryptophan),Consumption (import),617
Acidaminococcus fermentans,"L-Valine (Valine, D-Valine)",Consumption (import),617
Acidaminococcus fermentans,"NH3 (Ammonia, NH4+, Ammonium)",Production (export),"10, 11"
Acidaminococcus fermentans,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),617
Acidaminococcus fermentans,"Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)",Consumption (import),617
Acidaminococcus fermentans,"cis-Aconitate (trans-Aconitate, trans-Aconitic acid)",Consumption (import),"11, 13"
Acidimicrobium ferrooxidans,CO2,Consumption (import),14
Acidiphilium cryptum,D-Glucose (Glucose),Consumption (import),15
Acidithiobacillus caldus,"Sulfate (Sulfuric acid, Sulfite)",Production (export),16
Acidithiobacillus caldus,Sulfur (Elemental sulfur),Consumption (import),16
Acidithiobacillus caldus,Thiosulfate,Consumption (import),16
Acidithiobacillus ferrooxidans,CO2,Consumption (import),17
Acidothermus cellulolyticus,Cellulose (Beta-D-glucan),Macromolecule degradation,2
Acidovorax avenae,Adipate,Consumption (import),18
Acidovorax avenae,Caproate (Hexanoate),Consumption (import),18
Acidovorax avenae,Citrate,Consumption (import),18
Acidovorax avenae,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),18
Acidovorax avenae,D-Galactose,Consumption (import),18
Acidovorax avenae,D-Glucose (Glucose),Consumption (import),18
Acidovorax avenae,D-Mannitol (Mannitol),Consumption (import),18
Acidovorax avenae,D-Ribose (Ribose),Consumption (import),18
Acidovorax avenae,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),18
Acidovorax avenae,Ethanolamine (Phosphatidylethanolamine),Consumption (import),18
Acidovorax avenae,Isobutyrate (2-Methylpropanoic acid),Consumption (import),18
Acidovorax avenae,Isovalerate (3-Methylbutanoic acid),Consumption (import),18
Acidovorax avenae,"L-Arabitol (L-Arabinitol, D-Arabitol)",Consumption (import),18
Acidovorax avenae,L-Fucose,Consumption (import),18
Acidovorax avenae,L-Histidine (Histidine),Consumption (import),18
Acidovorax avenae,L-Threonine (Threonine),Consumption (import),18
Acidovorax avenae,L-Tryptophan (Tryptophan),Consumption (import),18
Acidovorax avenae,Nitrate (NO3-),Consumption (import),18
Acidovorax avenae,Pimelate,Consumption (import),18
Acidovorax avenae,"cis-Aconitate (trans-Aconitate, trans-Aconitic acid)",Consumption (import),18
Acidovorax avenae,"meso-Tartrate (meso-Tartaric acid, Tartrate, L-tartrate, L-Tartaric acid)",Consumption (import),18
Acidovorax delafieldii,Adipate,Consumption (import),18
Acidovorax delafieldii,Caproate (Hexanoate),Consumption (import),18
Acidovorax delafieldii,Citrate,Consumption (import),18
Acidovorax delafieldii,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),18
Acidovorax delafieldii,D-Galactose,Consumption (import),18
Acidovorax delafieldii,D-Glucose (Glucose),Consumption (import),18
Acidovorax delafieldii,D-Mannitol (Mannitol),Consumption (import),18
Acidovorax delafieldii,D-Mannose (Mannose),Consumption (import),18
Acidovorax delafieldii,D-Ribose (Ribose),Consumption (import),18
Acidovorax delafieldii,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),18
Acidovorax delafieldii,Isobutyrate (2-Methylpropanoic acid),Consumption (import),18
Acidovorax delafieldii,Isovalerate (3-Methylbutanoic acid),Consumption (import),18
Acidovorax delafieldii,"L-Arabitol (L-Arabinitol, D-Arabitol)",Consumption (import),18
Acidovorax delafieldii,L-Fucose,Consumption (import),18
Acidovorax delafieldii,L-Histidine (Histidine),Consumption (import),18
Acidovorax delafieldii,L-Threonine (Threonine),Consumption (import),18
Acidovorax delafieldii,L-Tryptophan (Tryptophan),Consumption (import),18
Acidovorax delafieldii,Nitrate (NO3-),Consumption (import),18
Acidovorax delafieldii,Pimelate,Consumption (import),18
Acidovorax delafieldii,"cis-Aconitate (trans-Aconitate, trans-Aconitic acid)",Consumption (import),18
Acidovorax delafieldii,"meso-Tartrate (meso-Tartaric acid, Tartrate, L-tartrate, L-Tartaric acid)",Consumption (import),18
Acinetobacter calcoaceticus,Triglyceride,Macromolecule degradation,60
Acinetobacter radioresistens,Triglyceride,Macromolecule degradation,60
Actinobacillus succinogenes,Cellobiose,Consumption (import),19
Actinobacillus succinogenes,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),19
Actinobacillus succinogenes,D-Fructose (Fructose),Consumption (import),19
Actinobacillus succinogenes,D-Glucose (Glucose),Consumption (import),19
Actinobacillus succinogenes,D-Glucuronic acid (D-Glucuronate),Consumption (import),19
Actinobacillus succinogenes,D-Mannitol (Mannitol),Consumption (import),19
Actinobacillus succinogenes,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),19
Actinobacillus succinogenes,D-Xylose (Xylose),Consumption (import),19
Actinobacillus succinogenes,"L-Arabitol (L-Arabinitol, D-Arabitol)",Consumption (import),19
Actinobacillus succinogenes,Lactose,Consumption (import),19
Actinobacillus succinogenes,Succinate,Production (export),19
Actinomyces coleocanis,Acetate,Production (export),217(G)
Actinomyces coleocanis,Cellulose (Beta-D-glucan),Macromolecule degradation,20
Actinomyces coleocanis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),217(G)
Actinomyces coleocanis,Pectin,Macromolecule degradation,20
Actinomyces coleocanis,Xylan,Macromolecule degradation,20
Actinomyces oris,Acetate,Production (export),217(G)
Actinomyces oris,Cellulose (Beta-D-glucan),Macromolecule degradation,20
Actinomyces oris,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),217(G)
Actinomyces oris,Pectin,Macromolecule degradation,20
Actinomyces oris,Xylan,Macromolecule degradation,20
Actinomyces urogenitalis,Acetate,Production (export),217(G)
Actinomyces urogenitalis,Cellulose (Beta-D-glucan),Macromolecule degradation,20
Actinomyces urogenitalis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),217(G)
Actinomyces urogenitalis,Pectin,Macromolecule degradation,20
Actinomyces urogenitalis,Xylan,Macromolecule degradation,20
Actinomyces viscosus,Acetate,Production (export),217(G)
Actinomyces viscosus,Cellulose (Beta-D-glucan),Macromolecule degradation,20
Actinomyces viscosus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),217(G)
Actinomyces viscosus,Pectin,Macromolecule degradation,20
Actinomyces viscosus,Xylan,Macromolecule degradation,20
Actinosynnema mirum,Acetate,Consumption (import) (-),631
Actinosynnema mirum,Benzoate,Consumption (import) (-),631
Actinosynnema mirum,Cellobiose,Consumption (import),631
Actinosynnema mirum,Citrate,Consumption (import) (-),631
Actinosynnema mirum,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),631
Actinosynnema mirum,D-Fructose (Fructose),Consumption (import),631
Actinosynnema mirum,D-Galactose,Consumption (import),631
Actinosynnema mirum,D-Glucose (Glucose),Consumption (import),631
Actinosynnema mirum,D-Mannitol (Mannitol),Consumption (import),631
Actinosynnema mirum,D-Mannose (Mannose),Consumption (import),631
Actinosynnema mirum,D-Ribose (Ribose),Consumption (import) (-),631
Actinosynnema mirum,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import) (-),631
Actinosynnema mirum,D-Xylose (Xylose),Consumption (import),631
Actinosynnema mirum,"Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)",Consumption (import),631
Actinosynnema mirum,Erythritol,Consumption (import) (-),631
Actinosynnema mirum,"Fructan (Inulin, Levan)",Macromolecule degradation (-),631
Actinosynnema mirum,Galactitol (Dulcitol),Consumption (import) (-),631
Actinosynnema mirum,Glycerol,Consumption (import) (-),631
Actinosynnema mirum,"Inositol (myo-Inositol, Inositol 1-phosphate, Myo-inositol phosphate)",Consumption (import) (-),631
Actinosynnema mirum,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Consumption (import),631
Actinosynnema mirum,"L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)",Consumption (import),631
Actinosynnema mirum,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),631
Actinosynnema mirum,Lactose,Consumption (import),631
Actinosynnema mirum,Maltose,Consumption (import),631
Actinosynnema mirum,Melibiose,Consumption (import),631
Actinosynnema mirum,Pyruvate,Consumption (import),631
Actinosynnema mirum,Raffinose,Consumption (import),631
Actinosynnema mirum,Ribitol (Adonitol),Consumption (import),631
Actinosynnema mirum,"Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)",Macromolecule degradation,631
Actinosynnema mirum,Succinate,Consumption (import) (-),631
Actinosynnema mirum,Sucrose,Consumption (import),631
Actinosynnema mirum,Trehalose,Consumption (import),631
Actinosynnema mirum,"meso-Tartrate (meso-Tartaric acid, Tartrate, L-tartrate, L-Tartaric acid)",Consumption (import),631
Aerococcus viridans,"Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)",Production (export) (-),607
Aerococcus viridans,Biotin (Vitamin B7),Consumption (import),618
Aerococcus viridans,Cellobiose,Consumption (import),608
Aerococcus viridans,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),608
Aerococcus viridans,D-Fructose (Fructose),Consumption (import),607
Aerococcus viridans,D-Galactose,Consumption (import),608
Aerococcus viridans,D-Glucose (Glucose),Consumption (import),607
Aerococcus viridans,D-Mannitol (Mannitol),Consumption (import),608
Aerococcus viridans,D-Mannose (Mannose),Consumption (import),607
Aerococcus viridans,D-Ribose (Ribose),Consumption (import),607
Aerococcus viridans,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),608
Aerococcus viridans,D-Tagatose,Consumption (import) (-),607
Aerococcus viridans,D-Turanose,Consumption (import),607
Aerococcus viridans,D-Xylose (Xylose),Consumption (import),608
Aerococcus viridans,Glycerol,Consumption (import),608
Aerococcus viridans,Guanine,Consumption (import),618
Aerococcus viridans,Lactose,Consumption (import),608
Aerococcus viridans,Maltose,Consumption (import),607
Aerococcus viridans,N-Acetyl-D-Glucosamine (N-Acetylglucosamine),Consumption (import),607
Aerococcus viridans,"Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)",Consumption (import),618
Aerococcus viridans,"Pantothenic acid (Vitamin B5, Pantothenate)",Consumption (import),618
Aerococcus viridans,Raffinose,Consumption (import),608
Aerococcus viridans,Sucrose,Consumption (import),607
Aerococcus viridans,Trehalose,Consumption (import),608
Aeromicrobium marinum,Cellobiose,Consumption (import),21
Aeromicrobium marinum,D-Mannitol (Mannitol),Consumption (import),21
Aeromicrobium marinum,L-Arginine (Arginine),Consumption (import),21
Aeromicrobium marinum,"L-Glutamate (L-Glutamic acid, Glutamate, D-Glutamate)",Consumption (import),21
Aeromicrobium marinum,Pyruvate,Consumption (import),21
Aeromicrobium marinum,Succinate,Consumption (import),21
Aeromicrobium marinum,Trehalose,Consumption (import),21
Aeromicrobium marinum,alpha-ketoglutarate (2-oxoglutarate),Consumption (import),21
Aeromonas hydrophila,Citrate,Consumption (import),22
Aeromonas hydrophila,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),22
Aeromonas hydrophila,D-Glucose (Glucose),Consumption (import),22
Aeromonas hydrophila,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Consumption (import),22
Aeromonas hydrophila,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),22
Aeromonas hydrophila,Melibiose,Consumption (import),22
Aeromonas hydrophila,Raffinose,Consumption (import),22
Aeromonas salmonicida,Cellobiose,Consumption (import),22
Aeromonas salmonicida,Citrate,Consumption (import),22
Aeromonas salmonicida,"D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)",Consumption (import),22
Aeromonas salmonicida,"D-Sorbitol (D-Glucitol, Sorbitol, Glucitol, L-Sorbitol, Sorbitol)",Consumption (import),22
Aeromonas salmonicida,Lactose,Consumption (import),22
Aeropyrum pernix,D-Glucose (Glucose),Consumption (import),23
Aggregatibacter actinomycetemcomitans,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Consumption (import),24
Agrobacterium tumefaciens,4-Aminobutyrate (GABA),Consumption (import),26
Agrobacterium tumefaciens,CO2,Production (export),25
Agrobacterium tumefaciens,D-Glucose (Glucose),Consumption (import),25
Agrobacterium tumefaciens,Ethanol,Production (export),25
Agrobacterium tumefaciens,Nitrate (NO3-),Consumption (import),619
Akkermansia muciniphila,Acetate,Production (export),27
Akkermansia muciniphila,D-Glucose (Glucose),Consumption (import),27
Akkermansia muciniphila,Ethanol,Production (export),27
Akkermansia muciniphila,Mucin (Mucus Glycoprotein),Macromolecule degradation,"27, 28, 29, 30, 31"
Akkermansia muciniphila,N-Acetyl-D-Glucosamine (N-Acetylglucosamine),Consumption (import),27
Akkermansia muciniphila,N-Acetylgalactosamine (N-Acetyl-D-galactosamine),Consumption (import),27
Akkermansia muciniphila,Propanoate (Propionate),Production (export),27
Akkermansia muciniphila,"Sulfate (Sulfuric acid, Sulfite)",Production (export),27
Alicycliphilus denitrificans,Acetate,Consumption (import),620
Alicycliphilus denitrificans,D-Glucose (Glucose),Consumption (import),620
Alicycliphilus denitrificans,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Consumption (import),620
Alicycliphilus denitrificans,Nitrate (NO3-),Consumption (import),620
Alicycliphilus denitrificans,Nitrite (NO2-),Consumption (import),620
Alicycliphilus denitrificans,Propanoate (Propionate),Consumption (import),620
Alistipes finegoldii,Acetate,Production (export),"32, 32(G)"
Alistipes finegoldii,Butyrate,Production (export),32(G)
Alistipes finegoldii,Indole,Production (export),"32, 32(G)"
Alistipes finegoldii,Isobutyrate (2-Methylpropanoic acid),Production (export),32(G)
Alistipes finegoldii,Isovalerate (3-Methylbutanoic acid),Production (export),"32, 32(G)"
Alistipes finegoldii,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),32
Alistipes finegoldii,Propanoate (Propionate),Production (export),"32, 32(G)"
Alistipes finegoldii,Succinate,Production (export),"32, 32(G)"
Alistipes indistinctus,Acetate,Production (export),"539, 32(G)"
Alistipes indistinctus,Butyrate,Production (export),32(G)
Alistipes indistinctus,Cellobiose,Consumption (import),539
Alistipes indistinctus,D-Glucose (Glucose),Consumption (import),539
Alistipes indistinctus,D-Mannose (Mannose),Consumption (import),539
Alistipes indistinctus,D-Xylose (Xylose),Consumption (import),539
Alistipes indistinctus,Indole,Production (export),32(G)
Alistipes indistinctus,Isobutyrate (2-Methylpropanoic acid),Production (export),"539, 32(G)"
Alistipes indistinctus,Isovalerate (3-Methylbutanoic acid),Production (export),"539, 32(G)"
Alistipes indistinctus,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),32(G)
Alistipes indistinctus,"L-Rhamnose (Rhamnose, D-Rhamnose)",Consumption (import),539
Alistipes indistinctus,Lactose,Consumption (import),539
Alistipes indistinctus,Maltose,Consumption (import),539
Alistipes indistinctus,Nitrate (NO3-),Consumption (import) (-),539
Alistipes indistinctus,Propanoate (Propionate),Production (export),32(G)
Alistipes indistinctus,Raffinose,Consumption (import),539
Alistipes indistinctus,Succinate,Production (export),"539, 32(G)"
Alistipes indistinctus,Sucrose,Consumption (import),539
Alistipes indistinctus,Trehalose,Consumption (import),539
Alistipes obesi,Acetate,Production (export),32(G)
Alistipes obesi,Butyrate,Production (export),32(G)
Alistipes obesi,Indole,Production (export),32(G)
Alistipes obesi,Isobutyrate (2-Methylpropanoic acid),Production (export),32(G)
Alistipes obesi,Isovalerate (3-Methylbutanoic acid),Production (export),32(G)
Alistipes obesi,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),32(G)
Alistipes obesi,Propanoate (Propionate),Production (export),32(G)
Alistipes obesi,Succinate,Production (export),32(G)
Alistipes onderdonkii,Acetate,Production (export),32(G)
Alistipes onderdonkii,Butyrate,Production (export),32(G)
Alistipes onderdonkii,D-Mannose (Mannose),Consumption (import),33
Alistipes onderdonkii,Indole,Production (export),"33, 32(G)"
Alistipes onderdonkii,Isobutyrate (2-Methylpropanoic acid),Production (export),32(G)
Alistipes onderdonkii,Isovalerate (3-Methylbutanoic acid),Production (export),32(G)
Alistipes onderdonkii,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),32(G)
Alistipes onderdonkii,Propanoate (Propionate),Production (export),32(G)
Alistipes onderdonkii,Raffinose,Consumption (import),33
Alistipes onderdonkii,Succinate,Production (export),32(G)
Alistipes putredinis,Acetate,Production (export),"32, 32(G)"
Alistipes putredinis,Butyrate,Production (export),32(G)
Alistipes putredinis,H2 (Hydrogen),Production (export),32
Alistipes putredinis,Indole,Production (export),"32, 32(G)"
Alistipes putredinis,Isobutyrate (2-Methylpropanoic acid),Production (export),32
Alistipes putredinis,Isovalerate (3-Methylbutanoic acid),Production (export),"32, 32(G)"
Alistipes putredinis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),32(G)
Alistipes putredinis,Propanoate (Propionate),Production (export),"32, 32(G)"
Alistipes putredinis,Succinate,Production (export),"32, 32(G)"
Alistipes senegalensis,Acetate,Production (export),32(G)
Alistipes senegalensis,Butyrate,Production (export),32(G)
Alistipes senegalensis,D-Mannose (Mannose),Consumption (import),420
Alistipes senegalensis,Indole,Production (export),"420, 32(G)"
Alistipes senegalensis,Isobutyrate (2-Methylpropanoic acid),Production (export),32(G)
Alistipes senegalensis,Isovalerate (3-Methylbutanoic acid),Production (export),32(G)
Alistipes senegalensis,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),32(G)
Alistipes senegalensis,Propanoate (Propionate),Production (export),32(G)
Alistipes senegalensis,Succinate,Production (export),32(G)
Alistipes shahii,Acetate,Production (export),32(G)
Alistipes shahii,Butyrate,Production (export),32(G)
Alistipes shahii,D-Mannose (Mannose),Consumption (import),33
Alistipes shahii,Indole,Production (export),"33, 32(G)"
Alistipes shahii,Isobutyrate (2-Methylpropanoic acid),Production (export),32(G)
Alistipes shahii,Isovalerate (3-Methylbutanoic acid),Production (export),32(G)
Alistipes shahii,"L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)",Production (export),32(G)
Alistipes shahii,Propanoate (Propionate),Production (export),32(G)
Alistipes shahii,Raffinose,Consumption (import),33
Alistipes shahii,Succinate,Production (export),"33, 32(G)"
Alistipes sp. HGB5,Acetate,Production (export),32(G)
Alistipes sp. HGB5,Butyrate,Production (export),32(G)
Alistipes sp. HGB5,Indole,Production (export),32(G)
Alistipes sp. HGB5,Isobutyrate (2-Methylpropanoic acid),Production (export),32(G)
Alistipes sp. HGB5,Isovalerate (3-Methylbutanoic acid),Production (export),32(G)
